DATE,BAMLCC8A015PYTRIV
1972-12-31,100.00
1973-01-01,.
1973-01-02,.
1973-01-03,.
1973-01-04,.
1973-01-05,.
1973-01-08,.
1973-01-09,.
1973-01-10,.
1973-01-11,.
1973-01-12,.
1973-01-15,.
1973-01-16,.
1973-01-17,.
1973-01-18,.
1973-01-19,.
1973-01-22,.
1973-01-23,.
1973-01-24,.
1973-01-25,.
1973-01-26,.
1973-01-29,.
1973-01-30,.
1973-01-31,.
1973-02-01,.
1973-02-02,.
1973-02-05,.
1973-02-06,.
1973-02-07,.
1973-02-08,.
1973-02-09,.
1973-02-12,.
1973-02-13,.
1973-02-14,.
1973-02-15,.
1973-02-16,.
1973-02-19,.
1973-02-20,.
1973-02-21,.
1973-02-22,.
1973-02-23,.
1973-02-26,.
1973-02-27,.
1973-02-28,.
1973-03-01,.
1973-03-02,.
1973-03-05,.
1973-03-06,.
1973-03-07,.
1973-03-08,.
1973-03-09,.
1973-03-12,.
1973-03-13,.
1973-03-14,.
1973-03-15,.
1973-03-16,.
1973-03-19,.
1973-03-20,.
1973-03-21,.
1973-03-22,.
1973-03-23,.
1973-03-26,.
1973-03-27,.
1973-03-28,.
1973-03-29,.
1973-03-30,.
1973-03-31,100.35
1973-04-02,.
1973-04-03,.
1973-04-04,.
1973-04-05,.
1973-04-06,.
1973-04-09,.
1973-04-10,.
1973-04-11,.
1973-04-12,.
1973-04-13,.
1973-04-16,.
1973-04-17,.
1973-04-18,.
1973-04-19,.
1973-04-20,.
1973-04-23,.
1973-04-24,.
1973-04-25,.
1973-04-26,.
1973-04-27,.
1973-04-30,100.35
1973-05-01,.
1973-05-02,.
1973-05-03,.
1973-05-04,.
1973-05-07,.
1973-05-08,.
1973-05-09,.
1973-05-10,.
1973-05-11,.
1973-05-14,.
1973-05-15,.
1973-05-16,.
1973-05-17,.
1973-05-18,.
1973-05-21,.
1973-05-22,.
1973-05-23,.
1973-05-24,.
1973-05-25,.
1973-05-28,.
1973-05-29,.
1973-05-30,.
1973-05-31,100.35
1973-06-01,.
1973-06-04,.
1973-06-05,.
1973-06-06,.
1973-06-07,.
1973-06-08,.
1973-06-11,.
1973-06-12,.
1973-06-13,.
1973-06-14,.
1973-06-15,.
1973-06-18,.
1973-06-19,.
1973-06-20,.
1973-06-21,.
1973-06-22,.
1973-06-25,.
1973-06-26,.
1973-06-27,.
1973-06-28,.
1973-06-29,.
1973-06-30,100.15
1973-07-02,.
1973-07-03,.
1973-07-04,.
1973-07-05,.
1973-07-06,.
1973-07-09,.
1973-07-10,.
1973-07-11,.
1973-07-12,.
1973-07-13,.
1973-07-16,.
1973-07-17,.
1973-07-18,.
1973-07-19,.
1973-07-20,.
1973-07-23,.
1973-07-24,.
1973-07-25,.
1973-07-26,.
1973-07-27,.
1973-07-30,.
1973-07-31,100.15
1973-08-01,.
1973-08-02,.
1973-08-03,.
1973-08-06,.
1973-08-07,.
1973-08-08,.
1973-08-09,.
1973-08-10,.
1973-08-13,.
1973-08-14,.
1973-08-15,.
1973-08-16,.
1973-08-17,.
1973-08-20,.
1973-08-21,.
1973-08-22,.
1973-08-23,.
1973-08-24,.
1973-08-27,.
1973-08-28,.
1973-08-29,.
1973-08-30,.
